Inventory ID,Project ID,Material Type,Quantity,Unit Price,Supplier Name,Supplier Contact,Location,Storage Location,Storage Conditions,Reorder Level,Reorder Quantity,Project Type,Project Name,Order Date,Expected Delivery Date,Actual Delivery Date,Procurement Status,Payment Status,Compliance Status,Risk Factor,Total Cost
INV-1,PROJ-95,Sand,972,8.79,"Glenn, Burton and Henry",(697)435-9036,Dubai,Dubai Silicon Oasis,Open-air,112,237,Mixed-use,Kim-Ross Development Project,27-09-2023,12-01-2025,17-11-2023,Pending,Pending,Non-compliant,Material Shortage,8543.88
INV-2,PROJ-71,Steel,374,846.37,"Glenn, Burton and Henry",504-805-1839,Sharjah,Al Saja'a Industrial Area,Open-air,127,474,Commercial,Crawford-Bates Development Project,19-08-2024,,,Cancelled,Overdue,Non-compliant,Cost Overruns,316542.38
INV-3,PROJ-44,Sand,1327,10.44,Harper Ltd,275-760-5733x59415,Abu Dhabi,Mussafah Industrial Area,Open-air,142,239,Mixed-use,"Duffy, Luna and Rosario Development Project",07-05-2024,02-06-2025,23-12-2024,In-progress,Overdue,Pending,Delay in Delivery,13853.88
INV-4,PROJ-71,Steel,596,715.96,Hall-Green,962.499.7518,Sharjah,SAIF Zone,Climate-controlled,104,223,Mixed-use,Crawford-Bates Development Project,22-10-2023,08-01-2025,29-07-2024,In-progress,Pending,Compliant,Material Shortage,426712.16
INV-5,PROJ-48,Tiles,1934,29.28,"Jackson, Thomas and Duncan",(832)727-7319,Sharjah,Al Saja'a Industrial Area,Climate-controlled,149,261,Mixed-use,"Martin, Fisher and Wiley Development Project",28-12-2023,01-02-2025,19-01-2025,In-progress,Paid,Pending,Cost Overruns,56627.52
INV-6,PROJ-75,Cement,2043,90.85,"Fowler, Morales and Yang",001-860-803-8703x027,Sharjah,Al Khan Industrial Area,Open-air,126,268,Residential,"Smith, Reed and Washington Development Project",30-09-2023,26-09-2024,24-06-2024,In-progress,Paid,Compliant,Cost Overruns,185606.55
INV-7,PROJ-9,Wood,4870,7.35,"Barton, Johnson and Stark",835.792.7739x161,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Covered,141,321,Commercial,Harper-Vazquez Development Project,26-09-2023,16-07-2025,19-06-2024,In-progress,Overdue,Compliant,Material Shortage,35794.5
INV-8,PROJ-92,Tiles,951,34.95,"Maynard, Holt and Warren",(276)613-6859,Abu Dhabi,Baniyas East,Open-air,107,389,Residential,"Higgins, Vargas and Mckinney Development Project",19-09-2024,,,Cancelled,Paid,Non-compliant,Delay in Delivery,33237.45
INV-9,PROJ-69,Steel,268,812.85,Cruz-Stuart,(755)495-5241x98201,Abu Dhabi,Baniyas East,Climate-controlled,145,248,Residential,Cameron-Fuller Development Project,30-08-2024,02-10-2024,14-09-2024,Pending,Paid,Non-compliant,Cost Overruns,217843.8
INV-10,PROJ-93,Safety Equipment,2189,97.3,"Mayo, Chen and Reed",4409657713,Abu Dhabi,ICAD,Climate-controlled,66,362,Residential,Gardner-Clements Development Project,26-12-2023,19-01-2025,17-07-2024,In-progress,Paid,Non-compliant,Material Shortage,212989.7
INV-11,PROJ-37,Bricks,473,3.4,Robinson Inc,001-305-972-3097x0379,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Covered,105,288,Residential,Benitez-Tucker Development Project,07-12-2023,14-10-2024,27-12-2023,Delivered,Paid,Compliant,Delay in Delivery,1608.2
INV-12,PROJ-81,Paint,630,24.06,Harper Ltd,001-245-653-3002,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Covered,172,408,Commercial,Patterson-Wood Development Project,12-02-2024,22-12-2024,12-05-2024,In-progress,Pending,Compliant,Material Shortage,15157.8
INV-13,PROJ-36,Tiles,1505,49.01,Sullivan-Sutton,+1-236-878-7516x84741,Abu Dhabi,ICAD,Open-air,188,250,Residential,Lewis-Leblanc Development Project,29-05-2024,10-11-2024,13-06-2024,In-progress,Pending,Compliant,Delay in Delivery,73760.05
INV-14,PROJ-96,Safety Equipment,1398,23.52,Harper Ltd,(881)416-4645x173,Abu Dhabi,Al Ain Industrial Area,Open-air,68,232,Residential,Trujillo and Sons Development Project,10-01-2024,,,Cancelled,Pending,Non-compliant,Cost Overruns,32880.96
INV-15,PROJ-20,Glass,4193,41.45,Murphy Ltd,876.254.2445x74850,Dubai,Ras Al Khor Industrial Area,Climate-controlled,181,480,Mixed-use,"Johnson, Burns and Ingram Development Project",24-12-2023,,,Cancelled,Paid,Compliant,Cost Overruns,173799.85
INV-16,PROJ-62,Tiles,3184,18.57,"Jackson, Thomas and Duncan",+1-977-699-1276x111,Sharjah,Industrial Area 10,Climate-controlled,108,324,Mixed-use,Crosby PLC Development Project,25-11-2023,,,Cancelled,Pending,Compliant,Material Shortage,59126.88
INV-17,PROJ-55,Steel,623,654.26,Sullivan-Sutton,001-530-459-1497x79342,Dubai,Jebel Ali Free Zone (JAFZA),Open-air,140,299,Mixed-use,"Robbins, Rogers and Silva Development Project",04-02-2024,11-11-2024,01-04-2024,In-progress,Pending,Non-compliant,Cost Overruns,407603.98
INV-18,PROJ-44,Safety Equipment,4582,41.39,Harper Ltd,673.516.7615,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Open-air,133,320,Mixed-use,"Duffy, Luna and Rosario Development Project",17-10-2023,19-03-2025,17-01-2025,Delivered,Pending,Pending,Delay in Delivery,189648.98
INV-19,PROJ-94,Cement,3430,85.55,Chase PLC,807-206-3885x4711,Sharjah,Industrial Area 10,Covered,170,338,Commercial,Wagner Inc Development Project,05-08-2024,,,Cancelled,Pending,Non-compliant,Cost Overruns,293436.5
INV-20,PROJ-63,Wood,1922,4.06,"Barton, Johnson and Stark",272.866.2033x7311,Sharjah,Al Khan Industrial Area,Climate-controlled,124,362,Residential,Young-Weber Development Project,18-05-2024,19-12-2024,19-06-2024,Delivered,Overdue,Compliant,Delay in Delivery,7803.32
INV-21,PROJ-88,Bricks,2357,9.06,Robinson Inc,(990)452-8594,Dubai,Al Quoz Industrial Area,Open-air,175,238,Residential,Moses and Sons Development Project,17-12-2023,,,Cancelled,Pending,Non-compliant,Cost Overruns,21354.42
INV-22,PROJ-25,Paint,1830,23.41,"Miller, Nelson and Bailey",659-930-9321,Dubai,Ras Al Khor Industrial Area,Climate-controlled,117,227,Mixed-use,"Ruiz, Williams and Larson Development Project",13-11-2023,,,Cancelled,Paid,Compliant,Delay in Delivery,42840.3
INV-23,PROJ-22,Wood,671,5.01,Cruz-Stuart,001-402-585-1088x154,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Open-air,82,402,Mixed-use,Martin-Bishop Development Project,21-04-2024,05-02-2025,18-06-2024,Delivered,Overdue,Compliant,Cost Overruns,3361.71
INV-24,PROJ-66,Bricks,2042,7.57,Murphy-Harvey,001-262-615-0365,Dubai,Jebel Ali Free Zone (JAFZA),Covered,110,475,Commercial,Cox Group Development Project,18-09-2024,23-08-2025,28-11-2024,In-progress,Overdue,Pending,Cost Overruns,15457.94
INV-25,PROJ-32,Safety Equipment,1165,41.69,Harper Ltd,841.220.7968,Abu Dhabi,ICAD,Climate-controlled,190,227,Residential,Morrison Group Development Project,15-08-2024,10-06-2025,05-03-2025,Pending,Overdue,Non-compliant,Delay in Delivery,48568.85
INV-26,PROJ-53,Steel,1184,846.95,"Barton, Johnson and Stark",655.695.4207,Abu Dhabi,ICAD,Open-air,165,498,Commercial,Reyes-Eaton Development Project,02-12-2023,29-06-2025,05-10-2024,In-progress,Paid,Pending,Cost Overruns,1002788.8
INV-27,PROJ-86,Bricks,3337,4.57,"Maynard, Holt and Warren",579-871-7524x316,Dubai,Jebel Ali Free Zone (JAFZA),Open-air,96,234,Commercial,Flynn LLC Development Project,06-10-2023,,,Cancelled,Paid,Pending,Material Shortage,15250.09
INV-28,PROJ-58,Steel,773,850.13,"Glenn, Burton and Henry",485.933.2423x398,Dubai,Al Quoz Industrial Area,Open-air,134,206,Mixed-use,"Anderson, Lawrence and Kelly Development Project",13-04-2024,,,Cancelled,Overdue,Pending,Cost Overruns,657150.49
INV-29,PROJ-33,Wood,4691,7.04,"Barton, Johnson and Stark",001-376-803-8109,Dubai,Dubai Silicon Oasis,Climate-controlled,192,393,Residential,Taylor-Michael Development Project,07-07-2024,,,Cancelled,Overdue,Non-compliant,Cost Overruns,33024.64
INV-30,PROJ-15,Steel,2437,625.49,"Fowler, Morales and Yang",(754)680-6084x74012,Sharjah,Industrial Area 10,Covered,187,350,Mixed-use,Stewart-Lewis Development Project,03-05-2024,31-07-2025,27-11-2024,In-progress,Paid,Pending,Delay in Delivery,1524319.13
INV-31,PROJ-19,Safety Equipment,1131,74.33,"Mayo, Chen and Reed",795.980.4245x479,Abu Dhabi,Baniyas East,Open-air,61,442,Mixed-use,Young Inc Development Project,28-04-2024,,,Cancelled,Paid,Compliant,Cost Overruns,84067.23
INV-32,PROJ-31,Cement,4134,85.88,Harper Ltd,817-683-5258x1035,Dubai,Jebel Ali Free Zone (JAFZA),Climate-controlled,153,361,Residential,Morrison LLC Development Project,23-04-2024,25-03-2025,17-11-2024,Delivered,Paid,Pending,Cost Overruns,355027.92
INV-33,PROJ-65,Cement,493,86.4,"Fowler, Brown and White",661-792-9154x4766,Sharjah,SAIF Zone,Covered,97,398,Residential,Nguyen-Reilly Development Project,21-03-2024,,,Cancelled,Paid,Non-compliant,Delay in Delivery,42595.2
INV-34,PROJ-35,Steel,3902,718.02,Cruz-Stuart,001-305-849-2019x4498,Sharjah,Al Saja'a Industrial Area,Open-air,124,318,Commercial,Williams Inc Development Project,05-03-2024,15-02-2025,03-06-2024,Pending,Pending,Non-compliant,Delay in Delivery,2801714.04
INV-35,PROJ-94,Sand,1769,13.08,Murphy-Harvey,-7088,Dubai,Dubai Investment Park (DIP),Covered,90,228,Commercial,Wagner Inc Development Project,28-08-2024,22-12-2024,31-10-2024,Pending,Overdue,Non-compliant,Delay in Delivery,23138.52
INV-36,PROJ-70,Glass,1855,39.7,"Brewer, Swanson and Gutierrez",(592)941-0858x644,Sharjah,Al Saja'a Industrial Area,Open-air,59,299,Residential,Alvarez PLC Development Project,06-08-2024,26-10-2024,16-09-2024,Pending,Overdue,Non-compliant,Delay in Delivery,73643.5
INV-37,PROJ-51,Sand,4818,7.42,"Jackson, Thomas and Duncan",(375)834-1699x77867,Abu Dhabi,ICAD,Climate-controlled,80,382,Commercial,Torres LLC Development Project,05-03-2024,04-08-2025,02-08-2024,In-progress,Overdue,Pending,Cost Overruns,35749.56
INV-38,PROJ-40,Cement,2729,97.3,Chase PLC,001-514-829-7487x8231,Sharjah,Hamriyah Free Zone,Climate-controlled,81,314,Residential,Smith-Nguyen Development Project,06-10-2023,07-12-2024,29-03-2024,In-progress,Paid,Pending,Delay in Delivery,265531.7
INV-39,PROJ-52,Glass,1592,21.77,Hall-Green,612-873-2927x63384,Dubai,Dubai Silicon Oasis,Climate-controlled,85,391,Mixed-use,Ross-Evans Development Project,19-12-2023,,,Cancelled,Paid,Compliant,Delay in Delivery,34657.84
INV-40,PROJ-78,Paint,1001,27.66,"Miller, Nelson and Bailey",(998)821-8013x8362,Dubai,Jebel Ali Free Zone (JAFZA),Climate-controlled,196,354,Mixed-use,Spencer-Lucas Development Project,22-02-2024,24-03-2025,25-03-2024,Pending,Paid,Non-compliant,Material Shortage,27687.66
INV-41,PROJ-68,Bricks,4850,5.77,Chase PLC,527-747-9999x90970,Abu Dhabi,Baniyas East,Open-air,150,361,Residential,Zuniga-Perry Development Project,07-03-2024,,,Cancelled,Overdue,Pending,Material Shortage,27984.5
INV-42,PROJ-45,Bricks,4749,8.91,Harper Ltd,001-971-599-0155,Dubai,Al Quoz Industrial Area,Climate-controlled,65,375,Residential,Fisher Inc Development Project,20-09-2024,,,Cancelled,Overdue,Compliant,Material Shortage,42313.59
INV-43,PROJ-42,Sand,3687,14.13,"Mayo, Chen and Reed",+1-213-905-7154x41715,Abu Dhabi,Al Ain Industrial Area,Climate-controlled,81,292,Commercial,Gregory Ltd Development Project,15-02-2024,27-12-2024,19-06-2024,In-progress,Pending,Compliant,Cost Overruns,52097.31
INV-44,PROJ-9,Bricks,2754,1.61,"Fowler, Morales and Yang",(470)701-7826x3962,Sharjah,Industrial Area 10,Climate-controlled,190,301,Residential,Harper-Vazquez Development Project,20-06-2024,09-09-2025,17-05-2025,In-progress,Paid,Non-compliant,Material Shortage,4433.94
INV-45,PROJ-100,Sand,1886,14.32,Robinson Inc,001-490-729-3148x51524,Sharjah,Hamriyah Free Zone,Covered,164,215,Residential,"Morgan, Young and Love Development Project",20-03-2024,11-12-2024,25-03-2024,In-progress,Paid,Non-compliant,Cost Overruns,27007.52
INV-46,PROJ-100,Safety Equipment,4458,142.83,"Mayo, Chen and Reed",(547)261-2444,Sharjah,Hamriyah Free Zone,Open-air,106,392,Commercial,"Morgan, Young and Love Development Project",01-08-2024,02-03-2025,07-10-2024,Delivered,Paid,Pending,Cost Overruns,636736.14
